group_id,timeslot_id,day,period,subject_id,teacher_id,room_id
G1,1,Mon,1,31901-2002,T01,R5306
G1,2,Mon,2,31901-2002,T01,R5306
G1,3,Mon,3,31901-2002,T01,R5306
G1,4,Mon,4,31901-2002,T01,R5306
G1,6,Mon,6,31901-2002,T01,R5306
G1,7,Mon,7,30000-1501,T02,R5306
G1,8,Mon,8,30000-1501,T02,R5306
G1,9,Mon,9,30000-1501,T02,R5306
G1,10,Mon,10,31901-2006,T03,R5306
G1,11,Mon,11,31901-2006,T03,R5306
G1,12,Mon,12,31901-2006,T03,R5306
G1,13,Tue,1,31901-2006,T03,R5306
G1,14,Tue,2,31901-2006,T03,R5306
G1,15,Tue,3,31901-2010,T04,R5306
G1,16,Tue,4,31901-2010,T04,R5306
G1,18,Tue,6,31901-2010,T04,R5306
G1,19,Tue,7,31901-2010,T04,R5306
G1,20,Tue,8,31901-2010,T04,R5306
G1,21,Tue,9,31901-2009,T04,R5306
G1,22,Tue,10,31901-2009,T04,R5306
G1,23,Tue,11,31901-2009,T04,R5306
G1,24,Tue,12,31901-2009,T04,R5306
G1,25,Wed,1,31901-2009,T04,R5306
G1,26,Wed,2,30000-1202,T06,R5306
G1,27,Wed,3,30000-1202,T06,R5306
G1,28,Wed,4,30000-2004,T07,R5306
G1,30,Wed,6,30000-2004,T07,R5306
G1,31,Wed,7,31901-2013,T08,R5306
G1,32,Wed,8,31901-2013,T08,R5306
G1,33,Wed,9,31901-2013,T08,R5306
G1,34,Wed,10,31901-2013,T08,R5306
G1,35,Wed,11,31901-2013,T08,R5306
G1,36,Wed,12,30001-1001,T09,R5306
G1,37,Thu,1,30001-1001,T09,R5306
G1,38,Thu,2,30001-1001,T09,R5306
G1,39,Thu,3,30001-1001,T09,R5306
G1,40,Thu,4,31901-2017,T07,R5306
G1,42,Thu,6,31901-2017,T07,R5306
G1,43,Thu,7,31901-2017,T07,R5306
G1,44,Thu,8,31901-2017,T07,R5306
G1,45,Thu,9,31901-2017,T07,R5306
G1,46,Thu,10,31901-2017,T07,R5306
G2,1,Mon,1,30000-1202,T06,R6405
G2,2,Mon,2,30000-1202,T06,R6405
G2,3,Mon,3,30000-1501,T02,R6405
G2,4,Mon,4,30000-1501,T02,R6405
G2,6,Mon,6,30000-1501,T02,R6405
G2,7,Mon,7,30001-1001,T09,R6405
G2,8,Mon,8,30001-1001,T09,R6405
G2,9,Mon,9,30001-1001,T09,R6405
G2,10,Mon,10,30001-1001,T09,R6405
G2,11,Mon,11,31901-2002,T01,R6405
G2,12,Mon,12,31901-2002,T01,R6405
G2,13,Tue,1,31901-2002,T01,R6405
G2,14,Tue,2,31901-2002,T01,R6405
G2,15,Tue,3,31901-2002,T01,R6405
G2,16,Tue,4,31901-2006,T03,R6405
G2,18,Tue,6,31901-2006,T03,R6405
G2,19,Tue,7,31901-2006,T03,R6405
G2,20,Tue,8,31901-2006,T03,R6405
G2,21,Tue,9,31901-2006,T03,R6405
G2,26,Wed,2,31901-2009,T04,R6405
G2,27,Wed,3,31901-2009,T04,R6405
G2,28,Wed,4,31901-2009,T04,R6405
G2,30,Wed,6,31901-2009,T04,R6405
G2,31,Wed,7,31901-2009,T04,R6405
G2,22,Tue,10,31901-2013,T08,R6405
G2,23,Tue,11,31901-2013,T08,R6405
G2,24,Tue,12,31901-2013,T08,R6405
